"No.","Channel Name","Receive Frequency","Transmit Frequency","Channel Type","Transmit Power","Band Width","CTCSS/DCS Decode","CTCSS/DCS Encode","Contact","Contact Call Type","Contact TG/DMR ID","Radio ID","Busy Lock/TX Permit","Squelch Mode","Optional Signal","DTMF ID","2Tone ID","5Tone ID","PTT ID","Color Code","Slot","Scan List","Receive Group List","PTT Prohibit","Reverse","Simplex TDMA","Slot Suit","AES Digital Encryption","Digital Encryption","Call Confirmation","Talk Around(Simplex)","Work Alone","Custom CTCSS","2TONE Decode","Ranging","Through Mode","APRS RX","Analog APRS PTT Mode","Digital APRS PTT Mode","APRS Report Type","Digital APRS Report Channel","Correct Frequency[Hz]","SMS Confirmation","Exclude channel from roaming","DMR MODE","DataACK Disable","R5toneBot","R5ToneEot","Auto Scan","Ana Aprs Mute","Send Talker Alias","AnaAprsTxPath","ARC4","ex_emg_kind"
"1","Alabama","440.92500","440.92500","D-Digital","Low","12.5K","Off","Off","Alabama","Group Call","3101","Your Radio","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","1","0","0","0","0","0","0","0","0"
"2","Alabama TAC","440.92500","440.92500","D-Digital","Low","12.5K","Off","Off","Alabama TAC","Group Call","31019","Your Radio","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","1","0","0","0","0","0","0","0","0"
"3","Alabama Link","440.92500","440.92500","D-Digital","Low","12.5K","Off","Off","Alabama Link","Group Call","31010","Your Radio","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","1","0","0","0","0","0","0","0","0"
"4","Gulf Coast, AL","440.92500","440.92500","D-Digital","Low","12.5K","Off","Off","Gulf Coast, AL","Group Call","31011","Your Radio","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","1","0","0","0","0","0","0","0","0"
"5","Old Quadnet, AL","440.92500","440.92500","D-Digital","Low","12.5K","Off","Off","Old Quadnet, AL","Group Call","31012","Your Radio","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","1","0","0","0","0","0","0","0","0"
"6","Alabama ALERT","440.92500","440.92500","D-Digital","Low","12.5K","Off","Off","Alabama ALERT","Group Call","31013","Your Radio","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","1","0","0","0","0","0","0","0","0"
"7","Huntsville, Al","440.92500","440.92500","D-Digital","Low","12.5K","Off","Off","Huntsville, Al","Group Call","31014","Your Radio","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","1","0","0","0","0","0","0","0","0"
"8","Central Alabama","440.92500","440.92500","D-Digital","Low","12.5K","Off","Off","Central Alabama","Group Call","31015","Your Radio","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","1","0","0","0","0","0","0","0","0"
"9","Northwest AL","440.92500","440.92500","D-Digital","Low","12.5K","Off","Off","Northwest AL","Group Call","31016","Your Radio","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0","0","0"
"10","East Alabama","440.92500","440.92500","D-Digital","Low","12.5K","Off","Off","East Alabama","Group Call","31017","Your Radio","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0","0","0"
"11","Tuscaloosa, AL","440.92500","440.92500","D-Digital","Low","12.5K","Off","Off","Tuscaloosa, AL","Group Call","310102","Your Radio","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0","0","0"
"12","Tallapoosa Co,AL","440.92500","440.92500","D-Digital","Low","12.5K","Off","Off","Tallapoosa Co,AL","Group Call","310530","Your Radio","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0","0","0"
"13","Chelsea, AL","440.92500","440.92500","D-Digital","Low","12.5K","Off","Off","Chelsea, AL","Group Call","312264","Your Radio","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0","0","0"
