"No.","Radio ID","Name","Call Type","Call Alert"
"1","1","NO TALKGROUP!!!!","Group Call","None"
"2","2","Local-2","Group Call","None"
"3","3","MARC3 North Amer","Group Call","None"
"4","9","Local-9","Group Call","None"
"5","13","MARC13 WW Eng","Group Call","None"
"6","99","DMR Simplex","Group Call","None"
"7","3101","Alabama","Group Call","None"
"8","31019","Alabama TAC","Group Call","None"
"9","31010","Alabama Link","Group Call","None"
"10","31011","Gulf Coast, AL","Group Call","None"
"11","31012","Old Quadnet, AL","Group Call","None"
"12","31013","Alabama ALERT","Group Call","None"
"13","31014","Huntsville, Al","Group Call","None"
"14","31015","Central Alabama","Group Call","None"
"15","31016","Northwest AL","Group Call","None"
"16","31017","East Alabama","Group Call","None"
"17","310102","Tuscaloosa, AL","Group Call","None"
"18","310530","Tallapoosa Co,AL","Group Call","None"
"19","312264","Chelsea, AL","Group Call","None"
"20","312572","96 ARC, AL","Group Call","None"
"21","312584","Alexander, AL","Group Call","None"
"22","3101250","Pinson, AL MMDVM","Group Call","None"
"23","3102","Alaska","Group Call","None"
"24","31020","Alaska TAC","Group Call","None"
"25","31021","AK Contesting","Group Call","None"
"26","31022","Alaska SkyWarn","Group Call","None"
"27","311485","Fairbanks AK-YSF","Group Call","None"
"28","3104","Arizona","Group Call","None"
"29","31041","Arizona TAC","Group Call","None"
"30","31040","Arizona EmComm","Group Call","None"
"31","31677","AZ OEI Rpt Group","Group Call","None"
"32","310410","Tucson Arizona","Group Call","None"
"33","311568","Payson Arizona","Group Call","None"
"34","313540","Ash Fork Arizona","Group Call","None"
"35","310430","Pinetop-Lakeside","Group Call","None"
"36","3105","Arkansas","Group Call","None"
"37","31050","Arkansas TAC","Group Call","None"
"38","31051","Arkansas WX","Group Call","None"
"39","31052","Arkansas ARES","Group Call","None"
"40","31055","North Central,AR","Group Call","None"
"41","31058","Northwest, AR","Group Call","None"
"42","310501","LittleRock Metro","Group Call","None"
"43","310504","Little Rock, AR","Group Call","None"
"44","310502","Harrison, AR","Group Call","None"
"45","310514","Jonesboro, AR","Group Call","None"
"46","310517","Mena, AR","Group Call","None"
"47","311575","HotSprings Local","Group Call","None"
"48","311489","Pine Bluff Local","Group Call","None"
"49","313188","Jasper, AR","Group Call","None"
"50","311678","Malvern, AR","Group Call","None"
"51","312487","Marianna, AR","Group Call","None"
"52","310150","Royal, AR","Group Call","None"
"53","310508","Conway, AR-YSF","Group Call","None"
"54","3149964","2M Crew, AR","Group Call","None"
"55","31059","Geeks Jeeps, AR","Group Call","None"
"56","313464","KC5DJR-R","Group Call","None"
"57","3106","California","Group Call","None"
"58","31072","California TAC","Group Call","None"
"59","31061","California 1","Group Call","None"
"60","31062","Mtn West","Group Call","None"
"61","31063","Mtn West-1","Group Call","None"
"62","312556","CalNet","Group Call","None"
"63","31065","NorCal AllStar","Group Call","None"
"64","31066","SoCal","Group Call","None"
"65","31067","SoCal 1","Group Call","None"
"66","31068","NorCal","Group Call","None"
"67","31069","NorCal 1","Group Call","None"
"68","310681","NorCal Disaster","Group Call","None"
"69","95150","NorCal 5150","Group Call","None"
"70","310606","NorCal-DMR","Group Call","None"
"71","3107","Western States","Group Call","None"
"72","31071","Ventura County-1","Group Call","None"
"73","31070","Ventura County-2","Group Call","None"
"74","31060","Palos Verdes ARC","Group Call","None"
"75","761002","PVARC-?","Group Call","None"
"76","31073","SantaBarbara, CA","Group Call","None"
"77","31064","Clara County, CA","Group Call","None"
"78","31707","Sonoma Co, CA","Group Call","None"
"79","31075","BayNet","Group Call","None"
"80","97150","BayCom-1","Group Call","None"
"81","310660","BayCom-2","Group Call","None"
"82","51569","Bay Area ARC","Group Call","None"
"83","311433","Bay Area-1","Group Call","None"
"84","311040","San Francisco-1","Group Call","None"
"85","312470","San Francisco-2","Group Call","None"
"86","31076","California CDM","Group Call","None"
"87","31077","PAPA Chat","Group Call","None"
"88","31078","PAPA Bridge","Group Call","None"
"89","31079","CA Alert Radio","Group Call","None"
"90","31775","PINOYHAMS, CA","Group Call","None"
"91","31689","CA FDMRCCU","Group Call","None"
"92","310706","Tri-Lert ERT","Group Call","None"
"93","310604","California CARLA","Group Call","None"
"94","31620","Kings of Digital","Group Call","None"
"95","31683","C.A.R.E.S. Ecom","Group Call","None"
"96","31821","Jefferson State","Group Call","None"
"97","31074","SanDiego S&R","Group Call","None"
"98","310014","SanDiego K6RRR-1","Group Call","None"
"99","311111","SanDiego K6RRR-2","Group Call","None"
"100","310343","SanDiego K6RRR-3","Group Call","None"
"101","310980","SanDiego W6RDX-1","Group Call","None"
"102","311057","SanDiego W6RDX-2","Group Call","None"
"103","310013","Redlands, CA-1","Group Call","None"
"104","310566","Redlands, CA-1","Group Call","None"
"105","310602","Pittsburg, CA","Group Call","None"
"106","310603","Livermore, CA","Group Call","None"
"107","310718","Sausalito, CA","Group Call","None"
"108","310733","Wilton, CA","Group Call","None"
"109","311129","Valley Center,CA","Group Call","None"
"110","311161","Calimesa, CA","Group Call","None"
"111","311168","Newport Beach,CA","Group Call","None"
"112","311416","Sacrament Valley","Group Call","None"
"113","311573","Fallbrook, CA","Group Call","None"
"114","110694","Hayward, CA","Group Call","None"
"115","311954","Escondido, CA","Group Call","None"
"116","310619","San Jose, CA","Group Call","None"
"117","310675","Tehachapi, CA","Group Call","None"
"118","310703","Vacaville, CA","Group Call","None"
"119","312358","Walnut Grove, CA","Group Call","None"
"120","312679","Bear Mountain,CA","Group Call","None"
"121","312829","Unknown CA-1","Group Call","None"
"122","312063","Blythe, CA","Group Call","None"
"123","312882","Portola Valley","Group Call","None"
"124","312749","Vallejo, CA","Group Call","None"
"125","3186741","Alphabet Club,CA","Group Call","None"
"126","3108","Colorado","Group Call","None"
"127","31080","Colorado Chat","Group Call","None"
"128","31082","Colorado-Link","Group Call","None"
"129","310842","Colorado ARESDEC","Group Call","None"
"130","1108410","Colorado ARES","Group Call","None"
"131","310873","Colorado WA0RES","Group Call","None"
"132","31083","Severe WX, CO","Group Call","None"
"133","3171","NorthernColorado","Group Call","None"
"134","31086","Western Colorado","Group Call","None"
"135","31085","Ski Co ARC, CO","Group Call","None"
"136","31087","Colorado IRG","Group Call","None"
"137","310815","Fun Machine, CO","Group Call","None"
"138","31088","Colorado HD","Group Call","None"
"139","31089","Hytera USA, CO","Group Call","None"
"140","31700","Castle Rock,CO-1","Group Call","None"
"141","310345","Castle Rock,CO-2","Group Call","None"
"142","310700","Castle Rock,CO-3","Group Call","None"
"143","310759","Squaw Mtn, CO","Group Call","None"
"144","310800","Denver Colorado","Group Call","None"
"145","310804","Denver RadioClub","Group Call","None"
"146","310847","Denver SkyHUB,CO","Group Call","None"
"147","310801","Rocky Mtn HR, CO","Group Call","None"
"148","310894","Rocky Mtn Rad,CO","Group Call","None"
"149","31084","North Mtn FR, CO","Group Call","None"
"150","310816","Almagre Mtn, CO","Group Call","None"
"151","310843","Pueblo Colorado","Group Call","None"
"152","31081","Park County, CO","Group Call","None"
"153","310844","Parker Colorado","Group Call","None"
"154","310813","Boulder South,CO","Group Call","None"
"155","310811","Golden, CO","Group Call","None"
"156","310854","Durango Colorado","Group Call","None"
"157","310869","Red Feather, CO","Group Call","None"
"158","313150","Silverthorne, CO","Group Call","None"
"159","312837","Simla Colorado","Group Call","None"
"160","313192","Lakewood, CO","Group Call","None"
"161","3109","Connecticut","Group Call","None"
"162","31090","Connecticut TAC","Group Call","None"
"163","31092","Connecticut Chat","Group Call","None"
"164","31093","Connecticut PVRA","Group Call","None"
"165","31094","Connecticut CDRA","Group Call","None"
"166","310912","Cornwall, CT","Group Call","None"
"167","310941","Bristol, CT","Group Call","None"
"168","3110","Delaware","Group Call","None"
"169","31100","Delaware TAC","Group Call","None"
"170","3111","Washington D.C.","Group Call","None"
"171","31110","D.C.-TAC","Group Call","None"
"172","3112","Florida","Group Call","None"
"173","31120","Florida TAC","Group Call","None"
"174","31121","First Coast,FL","Group Call","None"
"175","31122","West Central,FL","Group Call","None"
"176","31123","TreasureCoast,FL","Group Call","None"
"177","31664","Nature Coast, FL","Group Call","None"
"178","31670","Gulf Coast, FL","Group Call","None"
"179","31124","Southeast, FL-1","Group Call","None"
"180","31622","Southeast, FL-2","Group Call","None"
"181","31125","Florida DEARS","Group Call","None"
"182","31127","Florida ARES","Group Call","None"
"183","31128","Florida NE ARES","Group Call","None"
"184","31129","Orlando Florida1","Group Call","None"
"185","111201","Orlando Florida2","Group Call","None"
"186","31126","Orlando Florida3","Group Call","None"
"187","310031","Milton Florida-1","Group Call","None"
"188","3186919","Milton Florida-2","Group Call","None"
"189","310311","Beverly Hills,FL","Group Call","None"
"190","310438","Palm Bay,FL-1","Group Call","None"
"191","312270","Palm Bay,FL-2","Group Call","None"
"192","311576","Palm Bay,FL-3","Group Call","None"
"193","311406","Palm Coast,FL","Group Call","None"
"194","312700","W PalmBeach,FL-1","Group Call","None"
"195","3112444","W PalmBeach,FL-2","Group Call","None"
"196","310035","Pompano Beach,FL","Group Call","None"
"197","310442","Englewood,FL","Group Call","None"
"198","310972","Punta Gorda,FL-1","Group Call","None"
